"","name","player_id","year","pa","avg","obp","slg","ops","iso","woba","home_run","k_pct+","bb_pct+","xba+","xslg+","xwoba+","xwobacon+","barrel_rate+","hard_hit_pct+","z_sw_miss_pct+","oz_sw_pct+","oz_sw_miss_pct+","hr_rate+","probC1","probC2","probC3","probC4","probC5","probC6","probC7","probC8","Cluster","maxProb","PlayerYear"
"735","Dahl, David",621311,2019,413,0.302,0.353,0.524,0.877,0.222,0.364,15,120.87,77.91,105.6,110.69,104.49,113.87,131.79,104.75,132.37,119.99,107.86,95.68,0.926,0.004,0.024,0,0,0.016,0.002,0.028,1,0.926,"David Dahl 2019"
"736","Dahl, David",621311,2021,220,0.21,0.247,0.322,0.569,0.112,0.246,4,120.04,50.67,99.17,94.9,91.4,100.79,79.39,92.33,101.49,130.94,99.12,53.3,0.043,0.275,0.656,0,0.011,0,0,0.015,3,0.656,"David Dahl 2021"
"737","DeJesus, David",430203,2015,317,0.233,0.297,0.33,0.627,0.097,0.278,5,83.61,84.02,98.23,85.54,92.75,86.24,37.06,79.51,46.53,90.33,76.76,56.73,0,0.01,0.375,0,0.608,0,0.001,0.007,5,0.608,"David DeJesus 2015"
"738","Fletcher, David",664058,2018,307,0.275,0.316,0.363,0.679,0.088,0.297,1,51.79,56.4,112.11,84.38,93.5,83.45,5.63,55.76,28.5,91.97,55.4,10.39,0,0,0.051,0,0.949,0,0,0,5,0.949,"David Fletcher 2018"
"739","Fletcher, David",664058,2019,653,0.29,0.35,0.384,0.734,0.094,0.318,6,44.53,96.25,115.92,85.02,97.75,83.2,2.56,45.35,32.07,77.8,47.91,24.2,0,0,0.034,0,0.966,0,0.001,0,5,0.966,"David Fletcher 2019"
"740","Fletcher, David",664058,2021,665,0.262,0.297,0.324,0.621,0.062,0.273,2,40.31,52.93,109.65,76.3,86.46,75.6,0,39.5,31.4,105.62,44.34,8.82,0,0,0.008,0,0.992,0,0,0,5,0.992,"David Fletcher 2021"
"741","Fletcher, David",664058,2022,228,0.255,0.288,0.333,0.621,0.078,0.275,2,31.69,37.89,117.81,87.51,94.74,82.1,0,19.03,39.15,110.94,60.59,30.03,0,0,0.033,0,0.967,0,0,0,5,0.967,"David Fletcher 2022"
"742","Freese, David",501896,2015,470,0.257,0.323,0.42,0.743,0.163,0.325,14,116.25,84.02,99.83,105.49,103.82,106.84,127.07,111.84,99.04,98.51,109.93,107.14,0.74,0.012,0.06,0,0,0.015,0.009,0.164,1,0.74,"David Freese 2015"
"743","Freese, David",501896,2016,492,0.27,0.352,0.412,0.764,0.142,0.334,13,141.91,108.54,97.19,97.77,100.85,111.84,123.39,136.74,123.56,94.54,119.57,83.11,0.456,0.016,0.005,0,0,0.335,0.001,0.187,1,0.456,"David Freese 2016"
"744","Freese, David",501896,2017,503,0.263,0.368,0.371,0.739,0.108,0.326,10,110.67,131.23,101.61,92.64,104.99,103.09,95.83,124.39,106.4,87.73,91.07,57.68,0.186,0.015,0.096,0,0.001,0.003,0.034,0.664,8,0.664,"David Freese 2017"
"745","Freese, David",501896,2018,312,0.296,0.359,0.471,0.83,0.175,0.357,11,107.77,88.63,114.14,116.82,112.27,117.52,126.68,123.01,112.8,81.91,95.68,112.44,0.852,0,0.006,0.01,0,0.003,0.084,0.044,1,0.852,"David Freese 2018"
